CollegeCode,College,DepartmentCode,Department,Subject,CourseNumber,CRN,Section,CourseTitle,Campus,CreditHours,SeatLimit,Enrolled,Remaining,RoomCapacity,CorequisiteIndicator,WLCapacity,WLActual,WLRemaining,Status,Instructor,StartDate,EndDate,StartTime,EndTime,Days,Building,PartofTerm,AllFacultyLastName,AllFacultyP,ApproveTypeCode,AllFacultyFullName
FA,Fine Arts,MUSC,Music,MMP,100,20735,801,Survey of the Music Industry,OL,,25,26,-1,,N,0,0,0,Active,Porter,8/21/17,12/11/17,,,     , ,1,Porter,D. Porter,,Daniel Porter
FA,Fine Arts,MUSC,Music,MMP,100,20736,802,Survey of the Music Industry,OL,,25,25,0,,N,0,0,0,Active,Porter,8/21/17,12/11/17,,,     , ,1,Porter,D. Porter,,Daniel Porter
FA,Fine Arts,MUSC,Music,MMP,125,10002,1,Acoustics,M,,25,19,6,25,N,3,0,3,Active,Pounds,8/21/17,12/11/17,1100,1150,M  W  F ,MU 405,1,"Pounds, Powers","M. Pounds (P), C. Powers",,"Michael Pounds (P), Chad Powers"
FA,Fine Arts,MUSC,Music,MMP,125,10119,2,Acoustics,M,,20,0,20,,N,3,0,3,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,201,24753,810,Pro Tools 101,OL,,25,25,0,,N,10,0,10,Active,Seitz,8/21/17,10/18/17,,,     , ,21,Seitz,J. Seitz,,Jeffrey Seitz
FA,Fine Arts,MUSC,Music,MMP,202,24754,820,Pro Tools 110,OL,,25,17,8,,N,10,0,10,Active,Seitz,10/19/17,12/15/17,,,     , ,22,Seitz,J. Seitz,,Jeffrey Seitz
FA,Fine Arts,MUSC,Music,MMP,235,10120,1,Recording Technology 1,M,,15,16,-1,23,N,2,0,2,Active,Thompson,8/21/17,12/11/17,1230,1345, T  R  ,MI 216,1,Thompson,C. Thompson,,Christoph Thompson
FA,Fine Arts,MUSC,Music,MMP,235,10121,2,Recording Technology 1,M,,15,12,3,23,N,2,0,2,Active,Thompson,8/21/17,12/11/17,930,1045, T  R  ,MI 216,1,Thompson,C. Thompson,,Christoph Thompson
FA,Fine Arts,MUSC,Music,MMP,301,10122,1,Songwriting,M,,15,22,-7,23,N,5,0,5,Active,Willey,8/21/17,12/11/17,1100,1150, T  R  ,MI 216,1,Willey,R. Willey,SP,Robert Willey
FA,Fine Arts,MUSC,Music,MMP,330,10123,1,Live Sound and Recording,M,3,14,14,0,,N,10,0,10,Active,Vice,8/21/17,12/11/17,1700,1940,   R  ,TBD TBD,1,Vice,M. Vice,,Matthew Vice
FA,Fine Arts,MUSC,Music,MMP,330,25149,2,Live Sound and Recording,M,3,15,10,5,,N,5,0,5,Active,Vice,8/21/17,12/11/17,1700,1940, T    ,TBD TBD,1,Vice,M. Vice,,Matthew Vice
FA,Fine Arts,MUSC,Music,MMP,430,10126,1,Production Workshop,M,,15,13,2,,N,10,0,10,Active,Thompson,8/21/17,12/11/17,,,     , ,1,Thompson,C. Thompson,,Christoph Thompson
FA,Fine Arts,MUSC,Music,MMP,430,20316,1G,Production Workshop,M,3,5,0,5,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,491,16856,1,Indep Study in Mus Engin Tech,M,2,10,0,10,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,491,22516,1S,Indep Study in Mus Engin Tech,M,,10,0,10,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,491,18415,91,Indep Study in Mus Engin Tech,M,3,10,0,10,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,492,27912,1,Special Topics,M,1,30,9,21,,N,0,0,0,Active,Alder,8/21/17,12/11/17,,,     , ,1,Alder,A. Alder,,Alan Alder
FA,Fine Arts,MUSC,Music,MMP,492,28210,2,Special Topics,M,3,10,11,-1,,N,0,0,0,Active,Thompson,8/21/17,12/11/17,,,     , ,1,Thompson,C. Thompson,,Christoph Thompson
FA,Fine Arts,MUSC,Music,MMP,492,28211,3,Special Topics,M,1,15,10,5,,N,0,0,0,Active,Thompson,8/21/17,12/11/17,,,     , ,1,Thompson,C. Thompson,,Christoph Thompson
FA,Fine Arts,MUSC,Music,MMP,494,26368,1,Internship,OF,1,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,494,26369,2,Internship,OF,2,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,494,26370,3,Internship,OF,3,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,494,26706,800,Internship,OL,1,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,494,26707,801,Internship,OL,2,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,494,26708,802,Internship,OL,3,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,SP,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,495,10127,1,MMP Project and Recital,M,,15,4,11,12,N,0,0,0,Active,Willey,8/21/17,12/11/17,1500,1550,  W   ,MI 223A,1,Willey,R. Willey,,Robert Willey
FA,Fine Arts,MUSC,Music,MMP,495,10127,1,MMP Project and Recital,M,,15,4,11,,N,0,0,0,Active,Willey,8/21/17,12/11/17,,,     , ,1,Willey,R. Willey,,Robert Willey
FA,Fine Arts,MUSC,Music,MMP,495,16625,2,MMP Project and Recital,M,,30,0,30,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MMP,495,18585,3,MMP Project and Recital,M,,10,0,10,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,100,10133,1,Introduction to Music,M,,100,100,0,210,N,10,0,10,Active,McConnell,8/21/17,12/11/17,1230,1345, T  R  ,AC 114,1,"Janysek, McConnell, Philpott","H. Janysek, T. McConnell (P), A. Philpott",,"Hilary Janysek, T. McConnell (P), Allison Philpott"
FA,Fine Arts,MUSC,Music,MUHI,100,10134,2,Introduction to Music,M,,100,98,2,210,N,10,0,10,Active,McConnell,8/21/17,12/11/17,1400,1515, T  R  ,AC 114,1,"Janysek, McConnell, Philpott","H. Janysek, T. McConnell (P), A. Philpott",,"Hilary Janysek, T. McConnell (P), Allison Philpott"
FA,Fine Arts,MUSC,Music,MUHI,100,10135,3,Introduction to Music,M,,45,45,0,45,N,0,0,0,Active,Janysek,8/21/17,12/11/17,1100,1150,M  W  F ,MU 309,1,Janysek,H. Janysek,,Hilary Janysek
FA,Fine Arts,MUSC,Music,MUHI,100,10136,4,Introduction to Music,M,,45,44,1,45,N,0,0,0,Active,Edwards,8/21/17,12/11/17,930,1045, T  R  ,MU 309,1,Edwards,S. Edwards,,Stacey Edwards
FA,Fine Arts,MUSC,Music,MUHI,100,10137,5,Introduction to Music,M,,45,45,0,45,N,0,0,0,Active,Edwards,8/21/17,12/11/17,1100,1215, T  R  ,MU 309,1,Edwards,S. Edwards,,Stacey Edwards
FA,Fine Arts,MUSC,Music,MUHI,100,10138,6,Introduction to Music,M,,125,118,7,210,N,0,0,0,Active,McConnell,8/21/17,12/11/17,1700,1815, T  R  ,AC 114,1,"Janysek, McConnell, Philpott","H. Janysek, T. McConnell (P), A. Philpott",,"Hilary Janysek, T. McConnell (P), Allison Philpott"
FA,Fine Arts,MUSC,Music,MUHI,100,10139,7,Introduction to Music,M,,45,45,0,45,N,0,0,0,Active,Edwards,8/21/17,12/11/17,1400,1515, T  R  ,MU 309,1,Edwards,S. Edwards,,Stacey Edwards
FA,Fine Arts,MUSC,Music,MUHI,100,27005,8,Introduction to Music,M,,45,0,45,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,100,10141,9,Introduction to Music,M,,45,45,0,45,N,0,0,0,Active,Van Dyke,8/21/17,12/11/17,900,950,M  W  F ,MU 309,1,Van Dyke,A. Van Dyke,,Andrew Van Dyke
FA,Fine Arts,MUSC,Music,MUHI,100,10142,10,Introduction to Music,M,,45,0,45,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,100,10143,11,Introduction to Music,M,,45,45,0,45,N,0,0,0,Active,Anatone,8/21/17,12/11/17,1230,1345, T  R  ,MU 309,1,Anatone,R. Anatone,,Richard Anatone
FA,Fine Arts,MUSC,Music,MUHI,100,10146,14,Introduction to Music,M,,45,44,1,45,N,0,0,0,Active,Burkart,8/21/17,12/11/17,1300,1350,M  W  F ,MU 309,1,Burkart,R. Burkart,,Rebecca Burkart
FA,Fine Arts,MUSC,Music,MUHI,100,19966,800,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Hwang,8/21/17,12/11/17,,,     , ,1,Hwang,H. Hwang,,Hyery Hwang
FA,Fine Arts,MUSC,Music,MUHI,100,20682,801,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Prieto Ramirez,8/21/17,12/11/17,,,     , ,1,"Janysek, Prieto Ramirez","H. Janysek, R. Prieto Ramirez (P)",,"Hilary Janysek, Raul Prieto Ramirez (P)"
FA,Fine Arts,MUSC,Music,MUHI,100,20683,802,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Prieto Ramirez,8/21/17,12/11/17,,,     , ,1,"Janysek, Prieto Ramirez","H. Janysek, R. Prieto Ramirez (P)",,"Hilary Janysek, Raul Prieto Ramirez (P)"
FA,Fine Arts,MUSC,Music,MUHI,100,22135,803,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Alder,8/21/17,12/11/17,,,     , ,1,Alder,A. Alder,,Alan Alder
FA,Fine Arts,MUSC,Music,MUHI,100,22136,804,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Alder,8/21/17,12/11/17,,,     , ,1,Alder,A. Alder,,Alan Alder
FA,Fine Arts,MUSC,Music,MUHI,100,24528,805,Introduction to Music,OL,,25,25,0,,N,0,0,0,Active,Hwang,8/21/17,12/11/17,,,     , ,1,Hwang,H. Hwang,,Hyery Hwang
FA,Fine Arts,MUSC,Music,MUHI,100,20570,930,Introduction to Music,HS,,20,9,11,,N,0,0,0,Active,Weaver,8/21/17,12/11/17,1347,1436,M T W R F ,XHSDH ,1,Weaver,R. Weaver,,Rebekah Weaver
FA,Fine Arts,MUSC,Music,MUHI,107,28205,800,Rock and Roll in America,OL,,20,20,0,,N,0,0,0,Active,Anatone,8/21/17,12/11/17,,,     , ,1,Anatone,R. Anatone,,Richard Anatone
FA,Fine Arts,MUSC,Music,MUHI,139,19282,1,Perspectives of Jazz,M,,20,19,1,48,N,0,0,0,Active,Routenberg,8/21/17,12/11/17,1400,1515, T  R  ,MU 303,1,Routenberg,S. Routenberg,,Scott Routenberg
FA,Fine Arts,MUSC,Music,MUHI,139,24577,800,Perspectives of Jazz,OL,,25,20,5,,N,0,0,0,Active,Goens,8/21/17,12/11/17,,,     , ,1,Goens,C. Goens,,Cassius Goens
FA,Fine Arts,MUSC,Music,MUHI,139,24579,801,Perspectives of Jazz,OL,,25,16,9,,N,0,0,0,Active,Goens,8/21/17,12/11/17,,,     , ,1,Goens,C. Goens,,Cassius Goens
FA,Fine Arts,MUSC,Music,MUHI,139,25323,802,Perspectives of Jazz,OL,,25,14,11,,N,0,0,0,Active,Tucker,8/21/17,12/11/17,,,     , ,1,Tucker,R. Tucker,,Ryan Tucker
FA,Fine Arts,MUSC,Music,MUHI,139,25324,803,Perspectives of Jazz,OL,,25,9,16,,N,0,0,0,Active,Tucker,8/21/17,12/11/17,,,     , ,1,Tucker,R. Tucker,,Ryan Tucker
FA,Fine Arts,MUSC,Music,MUHI,139,26994,804,Perspectives of Jazz,OL,,25,10,15,,N,0,0,0,Active,Mendoza,8/21/17,12/11/17,,,     , ,1,Mendoza,F. Mendoza,,Frederico Mendoza
FA,Fine Arts,MUSC,Music,MUHI,200,10148,1,Survey of Music Literature,M,,36,18,18,48,N,0,0,0,Active,Platt,8/21/17,12/11/17,1000,1050,M  W  F ,MU 303,1,Platt,H. Platt,,Heather Platt
FA,Fine Arts,MUSC,Music,MUHI,200,10150,2,Survey of Music Literature,M,,36,30,6,48,N,0,0,0,Active,Burkart,8/21/17,12/11/17,1100,1150,M  W  F ,MU 303,1,Burkart,R. Burkart,,Rebecca Burkart
FA,Fine Arts,MUSC,Music,MUHI,330,10152,1,Music History,M,,25,28,-3,48,N,5,0,5,Active,Steib,8/21/17,12/11/17,1230,1345, T  R  ,MU 303,1,"Steib, Thompson","M. Steib (P), J. Thompson",,"Murray Steib (P), James Thompson"
FA,Fine Arts,MUSC,Music,MUHI,330,10153,2,Music History,M,,25,24,1,48,N,5,0,5,Active,Steib,8/21/17,12/11/17,930,1045, T  R  ,MU 303,1,"Steib, Thompson","M. Steib (P), J. Thompson",,"Murray Steib (P), James Thompson"
FA,Fine Arts,MUSC,Music,MUHI,331,10154,1,Music History 2,M,,20,12,8,48,N,5,0,5,Active,Platt,8/21/17,12/11/17,1400,1450,M  W  F ,MU 303,1,Platt,H. Platt,,Heather Platt
FA,Fine Arts,MUSC,Music,MUHI,436,21662,1,Music in the Classical Era,M,,16,0,16,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,437,19277,1,Music in the Romantic Era,M,,16,2,14,24,N,0,0,0,Active,Rorick,8/21/17,12/11/17,1700,1840,  W   ,MU 301,1,Rorick,L. Rorick,,Laura Rorick
FA,Fine Arts,MUSC,Music,MUHI,498,24478,1,Church Choral Music Hymnody,M,,16,2,14,,N,0,0,0,Active,Burkart,8/21/17,12/11/17,,,     , ,1,Burkart,R. Burkart,,Rebecca Burkart
FA,Fine Arts,MUSC,Music,MUHI,536,21663,1,Music in the Classical Era,M,,16,0,16,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,537,19278,1,Music in the Romantic Era,M,,16,13,3,24,N,0,0,0,Active,Rorick,8/21/17,12/11/17,1700,1940,  W   ,MU 301,1,Rorick,L. Rorick,,Laura Rorick
FA,Fine Arts,MUSC,Music,MUHI,596,27420,1,Organ Lit and Design,M,,5,0,5,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,598,24479,1,Church Choral and Hymns,M,,16,2,14,,N,0,0,0,Active,Burkart,8/21/17,12/11/17,,,     , ,1,Burkart,R. Burkart,,Rebecca Burkart
FA,Fine Arts,MUSC,Music,MUHI,601,10156,1,Graduate History Review,M,,15,10,5,24,N,0,0,0,Active,Steib,8/21/17,12/11/17,1800,2040, T    ,MU 301,1,Steib,M. Steib,,Murray Steib
FA,Fine Arts,MUSC,Music,MUHI,602,21664,1,Teaching Intro to Music,M,,12,0,12,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,603,24483,1,Chamber Music Literature,M,,16,7,9,24,N,0,0,0,Active,Platt,8/21/17,12/11/17,1100,1150,M  W  F ,MU 301,1,Platt,H. Platt,,Heather Platt
FA,Fine Arts,MUSC,Music,MUHI,632,21665,1,Music in the Renaissance,M,,16,0,16,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,633,19280,1,Music in the Twentieth Century,M,,16,10,6,48,N,0,0,0,Active,Pohly,8/21/17,12/11/17,1800,2040, T    ,MU 303,1,Pohly,L. Pohly,,Linda Pohly
FA,Fine Arts,MUSC,Music,MUHI,680,19391,1,Symphonic Literature,M,,15,0,15,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,686,24482,1,Ethnomusicology and World,M,,12,0,12,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,687,19392,1,Early Keyboard Perf Practice,M,,12,0,12,,N,0,0,0,Cancelled,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUHI,691,28161,1,Independent Study,M,3,20,1,19,,N,0,0,0,Active,Platt,8/21/17,12/11/17,,,     , ,1,Platt,H. Platt,SP,Heather Platt
FA,Fine Arts,MUSC,Music,MUSC,140,24206,1A,Large Instrumental Ensemble,M,0,100,1,99,400,N,0,0,0,Active,Droste,8/21/17,12/11/17,1400,1645, T  R  ,MI 104,1,Droste,D. Droste,SP,Douglas Droste
FA,Fine Arts,MUSC,Music,MUSC,140,24209,1B,Large Instrumental Ensemble,M,0,100,2,98,100,N,0,0,0,Active,Caneva,8/21/17,12/11/17,1215,1345,  W  F ,MI 152,1,Caneva,T. Caneva,SP,Thomas Caneva
FA,Fine Arts,MUSC,Music,MUSC,140,24209,1B,Large Instrumental Ensemble,M,0,100,2,98,100,N,0,0,0,Active,Caneva,8/21/17,12/11/17,1930,2100,M     ,MI 152,1,Caneva,T. Caneva,SP,Thomas Caneva
FA,Fine Arts,MUSC,Music,MUSC,140,24211,1C,Large Instrumental Ensemble,M,0,100,3,97,100,N,0,0,0,Active,Hand,8/21/17,12/11/17,1400,1515, T  R  ,MI 152,1,"Hand, Hinkle, Ivey, Lovell","C. Hand (P), A. Hinkle, S. Ivey, R. Lovell",SP,"Caroline Hand (P), Austin Hinkle, Stuart Ivey, Ryan Lovell"
FA,Fine Arts,MUSC,Music,MUSC,140,24211,1C,Large Instrumental Ensemble,M,0,100,3,97,100,N,0,0,0,Active,Hand,8/21/17,12/11/17,1800,1915,M     ,MI 152,1,"Hand, Hinkle, Ivey, Lovell","C. Hand (P), A. Hinkle, S. Ivey, R. Lovell",SP,"Caroline Hand (P), Austin Hinkle, Stuart Ivey, Ryan Lovell"
FA,Fine Arts,MUSC,Music,MUSC,140,24213,2A,Large Instrumental Ensemble,M,0,100,4,96,100,N,0,0,0,Active,Droste,8/21/17,12/11/17,2000,2130,  W   ,MI 152,1,"Cooperman, Droste, Rome","M. Cooperman, D. Droste (P), S. Rome",SP,"Matthew Cooperman, Douglas Droste (P), Suzanne Rome"
FA,Fine Arts,MUSC,Music,MUSC,140,24212,2B,Large Instrumental Ensemble,M,0,100,0,100,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUSC,140,24214,2C,Large Instrumental Ensemble,M,0,100,0,100,100,N,0,0,0,Active,Caneva,8/21/17,12/11/17,1900,2100, T    ,MI 152,1,"Caneva, Hinkle, Ivey, Lovell, Wurster","T. Caneva (P), A. Hinkle, S. Ivey, R. Lovell, M. Wurster",SP,"Thomas Caneva (P), Austin Hinkle, Stuart Ivey, Ryan Lovell, Miles Wurster"
FA,Fine Arts,MUSC,Music,MUSC,140,24215,2D,Large Instrumental Ensemble,M,0,100,27,73,300,N,0,0,0,Active,Hand,8/21/17,12/11/17,1510,1650,M  W  F ,OA WCF,1,"Hand, Hinkle, Ivey, Lovell","C. Hand (P), A. Hinkle, S. Ivey, R. Lovell",SP,"Caroline Hand (P), Austin Hinkle, Stuart Ivey, Ryan Lovell"
FA,Fine Arts,MUSC,Music,MUSC,140,25072,2E,Large Instrumental Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Kaplan,8/21/17,12/11/17,1000,1050, T  R  ,MI 163,1,"Bennett, Chan, Kaplan, Trawick","D. Bennett, C. Chan, A. Kaplan (P), E. Trawick",SP,"Darius Bennett, Chin Ting Chan, Amelia Kaplan (P), Eleanor Trawick"
FA,Fine Arts,MUSC,Music,MUSC,140,25072,2E,Large Instrumental Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Kaplan,8/21/17,12/11/17,1000,1050,M  W   ,MI 152,1,"Bennett, Chan, Kaplan, Trawick","D. Bennett, C. Chan, A. Kaplan (P), E. Trawick",SP,"Darius Bennett, Chin Ting Chan, Amelia Kaplan (P), Eleanor Trawick"
FA,Fine Arts,MUSC,Music,MUSC,140,24217,2F,Large Instrumental Ensemble,M,0,80,10,70,100,N,0,0,0,Active,Hand,8/21/17,12/11/17,1530,1650, T  R  ,MI 152,1,Hand,C. Hand,SP,Caroline Hand
FA,Fine Arts,MUSC,Music,MUSC,141,21630,1,Large Instrumental Ensemble,M,,100,0,100,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUSC,141,24219,1A,Large Instrumental Ensemble,M,0,30,0,30,120,N,0,0,0,Active,Buselli,8/21/17,12/11/17,1100,1150,M  W  F ,MU 117A,1,Buselli,M. Buselli,SP,Mark Buselli
FA,Fine Arts,MUSC,Music,MUSC,141,24219,1A,Large Instrumental Ensemble,M,0,30,0,30,120,N,0,0,0,Active,Buselli,8/21/17,12/11/17,2001,2130,  W   ,MU 117A,1,Buselli,M. Buselli,SP,Mark Buselli
FA,Fine Arts,MUSC,Music,MUSC,141,24220,1B,Large Instrumental Ensemble,M,0,30,1,29,120,N,0,0,0,Active,Mendoza,8/21/17,12/11/17,1100,1150, T  R  ,MU 117A,1,Mendoza,F. Mendoza,SP,Frederico Mendoza
FA,Fine Arts,MUSC,Music,MUSC,141,24220,1B,Large Instrumental Ensemble,M,0,30,1,29,120,N,0,0,0,Active,Mendoza,8/21/17,12/11/17,1830,2000,  W   ,MU 117A,1,Mendoza,F. Mendoza,SP,Frederico Mendoza
FA,Fine Arts,MUSC,Music,MUSC,141,24221,1C,Large Instrumental Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Buselli,8/21/17,12/11/17,1100,1150, T  R  ,MU 123A,1,Buselli,M. Buselli,SP,Mark Buselli
FA,Fine Arts,MUSC,Music,MUSC,141,24222,1D,Large Instrumental Ensemble,M,0,30,0,30,,N,0,0,0,Hold,,,,,,     , ,1,No Instructor Listed,No Instructor Listed,,No Instructor Listed
FA,Fine Arts,MUSC,Music,MUSC,150,24223,1A,Large Vocal Ensemble,M,0,50,0,50,100,N,0,0,0,Active,Alder,8/21/17,12/11/17,1600,1730,  W   ,MU 123A,1,Alder,A. Alder,SP,Alan Alder
FA,Fine Arts,MUSC,Music,MUSC,150,24223,1A,Large Vocal Ensemble,M,0,50,0,50,100,N,0,0,0,Active,Alder,8/21/17,12/11/17,1600,1750,M     ,MU 123A,1,Alder,A. Alder,SP,Alan Alder
FA,Fine Arts,MUSC,Music,MUSC,150,24223,1A,Large Vocal Ensemble,M,0,50,0,50,100,N,0,0,0,Active,Alder,8/21/17,12/11/17,1930,2200, T    ,MU 123A,1,Alder,A. Alder,SP,Alan Alder
FA,Fine Arts,MUSC,Music,MUSC,150,24224,1B,Large Vocal Ensemble,M,0,30,0,30,120,N,0,0,0,Active,Alder,8/21/17,12/11/17,1900,2200, T    ,MU 117A,1,Alder,A. Alder,SP,Alan Alder
FA,Fine Arts,MUSC,Music,MUSC,151,24227,1A,Large Vocal Ensemble,M,0,50,0,50,100,N,0,0,0,Active,Crow,8/21/17,12/11/17,1100,1150,M T W R F ,MI 163,1,Crow,A. Crow,SP,Andrew Crow
FA,Fine Arts,MUSC,Music,MUSC,151,24226,1B,Large Vocal Ensemble,M,0,80,0,80,100,N,0,0,0,Active,Glann,8/21/17,12/11/17,1500,1550,  W  F ,MI 163,1,"Glann, Martin","K. Glann (P), A. Martin",SP,"Kerry Glann (P), Andrew Martin"
FA,Fine Arts,MUSC,Music,MUSC,151,24226,1B,Large Vocal Ensemble,M,0,80,0,80,400,N,0,0,0,Active,Glann,8/21/17,12/11/17,1500,1550,M     ,MI 104,1,"Glann, Martin","K. Glann (P), A. Martin",SP,"Kerry Glann (P), Andrew Martin"
FA,Fine Arts,MUSC,Music,MUSC,151,24226,1B,Large Vocal Ensemble,M,0,80,0,80,100,N,0,0,0,Active,Glann,8/21/17,12/11/17,1530,1620, T  R  ,MU 123A,1,"Glann, Martin","K. Glann (P), A. Martin",SP,"Kerry Glann (P), Andrew Martin"
FA,Fine Arts,MUSC,Music,MUSC,151,24228,1C,Large Vocal Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Truitt,8/21/17,12/11/17,1800,2000,  W   ,MU 123A,1,Truitt,J. Truitt,SP,Jon Truitt
FA,Fine Arts,MUSC,Music,MUSC,151,24229,1D,Large Vocal Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Truitt,8/21/17,12/11/17,1700,1930, T  R  ,MU 123A,1,Truitt,J. Truitt,SP,Jon Truitt
FA,Fine Arts,MUSC,Music,MUSC,151,24229,1D,Large Vocal Ensemble,M,0,30,0,30,100,N,0,0,0,Active,Truitt,8/21/17,12/11/17,1800,2050,M  W   ,MU 123A,1,Truitt,J. Truitt,SP,Jon Truitt
FA,Fine Arts,MUSC,Music,MUSC,151,24230,2A,Large Vocal Ensemble,M,0,50,1,49,100,N,0,0,0,Active,Glann,8/21/17,12/11/17,1530,1620, T  R  ,MU 123A,1,"Glann, Ramalho de Mello","K. Glann (P), M. Ramalho de Mello",SP,"Kerry Glann (P), Marcel Ramalho de Mello"
FA,Fine Arts,MUSC,Music,MUSC,151,24231,2B,Large Vocal Ensemble,M,0,50,0,50,100,N,0,0,0,Active,Crow,8/21/17,12/11/17,1530,1620, T  R  ,MI 163,1,Crow,A. Crow,SP,Andrew Crow
FA,Fine Arts,MUSC,Music,MUSC,151,24232,2C,Large Vocal Ensemble,M,0,80,2,78,100,N,0,0,0,Active,Geib,8/21/17,12/11/17,1900,2130,M     ,MI 163,1,"Geib, Glann, Martin","S. Geib (P), K. Glann, A. Martin",SP,"Sally Geib (P), Kerry Glann, Andrew Martin"
FA,Fine Arts,MUSC,Music,MUSC,299X,19934,1,Experimentl Develpmentl Topics,M,3,5,4,1,,N,0,0,0,Active,Porter,8/21/17,12/11/17,,,     , ,1,Porter,D. Porter,SP,Daniel Porter
FA,Fine Arts,MUSC,Music,MUSC,299X,28215,2,Experimentl Develpmentl Topics,M,1,50,16,34,45,N,0,0,0,Active,Droste,8/21/17,12/11/17,1700,1750,M     ,MU 309,1,Droste,A. Droste,,Amanda Droste
FA,Fine Arts,MUSC,Music,MUSC,340,24233,1A,Large Instrumental Ensemble,M,1,100,58,42,400,N,0,0,0,Active,Droste,8/21/17,12/11/17,1400,1645, T  R  ,MI 104,1,Droste,D. Droste,,Douglas Droste
FA,Fine Arts,MUSC,Music,MUSC,340,24234,1B,Large Instrumental Ensemble,M,1,80,36,44,100,N,0,0,0,Active,Caneva,8/21/17,12/11/17,1215,1345,  W  F ,MI 152,1,Caneva,T. Caneva,,Thomas Caneva
